1020, 62, 5, 10, 30
1020, 62, 5, 10, 30
1020, 62, 5, 10, 30
1020, 63, 3, 12, 20
1020, 63, 3, 12, 20
1020, 64, 0.5, 6.5, 30
1020, 65, 10, 190, 30
1020, 65, 10, 190, 30
1020, 65, 10, 190, 30
1020, 66, 15, 275, 40
1020, 66, 15, 275, 40
1020, 66, 15, 275, 40
1020, 67, 20, 388, 40
1020, 67, 20, 388, 40
1020, 67, 20, 388, 40
1020, 68, 2, 10, 20
1020, 70, 8, 84, 30
1020, 70, 8, 84, 30
1020, 70, 8, 84, 30
1020, 54, 1, 1, 100
1020, 55, 3, 26, 50
1020, 55, 3, 26, 50
1020, 56, 3, 15, 20
1020, 56, 3, 15, 20
